[LEXTOKEN] PACKAGE -> 'package' (line 2, pos 1)
[LEXTOKEN] IDENTIFIER -> 'main' (line 2, pos 9)
[LEXTOKEN] IMPORT -> 'import' (line 4, pos 15)
[LEXTOKEN] LPAREN -> '(' (line 4, pos 22)
[LEXTOKEN] STRING -> '"fmt"' (line 5, pos 25)
[LEXTOKEN] STRING -> '"errors"' (line 6, pos 32)
[LEXTOKEN] RPAREN -> ')' (line 7, pos 41)
[LEXTOKEN] TYPE -> 'type' (line 9, pos 44)
[LEXTOKEN] IDENTIFIER -> 'Persona' (line 9, pos 49)
[LEXTOKEN] STRUCT -> 'struct' (line 9, pos 57)
[LEXTOKEN] LBRACE -> '{' (line 9, pos 64)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 10, pos 67)
[LEXTOKEN] DATATYPE -> 'string' (line 10, pos 74)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 11, pos 82)
[LEXTOKEN] DATATYPE -> 'int' (line 11, pos 87)
[LEXTOKEN] IDENTIFIER -> 'activo' (line 12, pos 92)
[LEXTOKEN] DATATYPE -> 'bool' (line 12, pos 99)
[LEXTOKEN] RBRACE -> '}' (line 13, pos 104)
[LEXTOKEN] FUNC -> 'func' (line 15, pos 107)
[LEXTOKEN] IDENTIFIER -> 'obtenerEdad' (line 15, pos 112)
[LEXTOKEN] LPAREN -> '(' (line 15, pos 123)
[LEXTOKEN] RPAREN -> ')' (line 15, pos 124)
[LEXTOKEN] DATATYPE -> 'int' (line 15, pos 126)
[LEXTOKEN] LBRACE -> '{' (line 15, pos 130)
[LEXTOKEN] RETURN -> 'return' (line 16, pos 133)
[LEXTOKEN] NUMBER -> '30' (line 16, pos 140)
[LEXTOKEN] RBRACE -> '}' (line 17, pos 143)
[LEXTOKEN] FUNC -> 'func' (line 19, pos 146)
[LEXTOKEN] IDENTIFIER -> 'dividir' (line 19, pos 151)
[LEXTOKEN] LPAREN -> '(' (line 19, pos 158)
[LEXTOKEN] IDENTIFIER -> 'a' (line 19, pos 159)
